iter	Accuracy	MultiClass
0	0.6454319367	1.081349345
1	0.6500710043	1.065677602
2	0.6556065156	1.050848785
3	0.6580474099	1.037194849
4	0.6584106441	1.024195182
5	0.660315772	1.011824643
6	0.6613129727	1.000438178
7	0.6632282273	0.989822076
8	0.6628049681	0.9800999781
9	0.6621366371	0.9706678104
10	0.6616720784	0.9619491387
11	0.6642330017	0.9532536989
12	0.663817687	0.9454052104
13	0.663148051	0.9378651216
14	0.6621417909	0.9306756616
15	0.6626372515	0.923754232
16	0.6632019233	0.9176085379
17	0.6662953524	0.9113205247
18	0.6673226413	0.9052403134
19	0.6678070095	0.8994549788
20	0.6673721857	0.8938346825
21	0.6676977375	0.8889258579
22	0.6682090998	0.8838100892
23	0.6685888537	0.8790194642
24	0.6708470815	0.8743058587
25	0.6696761776	0.8700293305
26	0.6699020799	0.8657270741
27	0.6701543984	0.8615069152
28	0.669733873	0.8575733604
29	0.6698965579	0.8542557214
30	0.6701288169	0.8508027409
31	0.668975805	0.8478695358
32	0.6689757466	0.8447202955
33	0.6689750882	0.8418409608
34	0.6687109815	0.8388964374
35	0.6693958306	0.8359328946
36	0.6695392596	0.8331690853
37	0.6701200842	0.8304610458
38	0.6699509698	0.8279786721
39	0.671124126	0.8253122989
40	0.6707777714	0.8230186355
41	0.6703898906	0.8207761923
42	0.670682241	0.818716325
43	0.670453539	0.8166421888
44	0.6704511811	0.8148190942
45	0.6704154504	0.8126615813
46	0.6710688049	0.8102748546
47	0.6717597264	0.8082167795
48	0.6716577475	0.8065822021
49	0.6717479543	0.8047572476
50	0.671944898	0.8031832911
51	0.6729947619	0.8012291048
52	0.6728264155	0.7998236944
53	0.6724972758	0.7984890518
54	0.6732135106	0.7969081653
55	0.6744939914	0.7950184594
56	0.67433608	0.7935463695
57	0.6746810191	0.7920074537
58	0.6743760039	0.7907359599
59	0.6739499659	0.7892990245
60	0.6748903127	0.7878302603
61	0.6751753008	0.7863895974
62	0.6753004218	0.7845552237
63	0.6754136822	0.7833399757
64	0.6756842055	0.7816674228
65	0.6758855899	0.7803162396
66	0.6760068005	0.7787665718
67	0.6764896682	0.77764947
68	0.6762183506	0.7764168029
69	0.6764152147	0.7753762702
70	0.6768072922	0.7743591136
71	0.6773791269	0.7729869112
72	0.6783870899	0.7716822093
73	0.6784734835	0.7705023525
74	0.6791447625	0.7693037297
75	0.6789002012	0.7682997702
76	0.6794865307	0.7672915712
77	0.6795613599	0.766375812
78	0.6796747088	0.7654227351
79	0.6801555588	0.7644229305
80	0.6808727163	0.7632666174
81	0.6806607785	0.7622992801
82	0.6810238762	0.7613564058
83	0.6814004479	0.760388814
84	0.6817337632	0.7595894099
85	0.6817981662	0.7587990205
86	0.6820486247	0.7576485555
87	0.6822824073	0.7566424876
88	0.6823975837	0.7555839763
89	0.6826532498	0.7548632781
90	0.6831692306	0.7541615786
91	0.6833034309	0.7533790781
92	0.6836764845	0.7528155608
93	0.6840453811	0.7519607437
94	0.6842094062	0.7510696716
95	0.6840159321	0.7503988909
96	0.6839445326	0.7496797751
97	0.6841047532	0.7487566947
98	0.6843489124	0.7478934076
99	0.6846633806	0.7470714495
100	0.6844428141	0.7462299018
101	0.6848368959	0.7452819318
102	0.6851805491	0.7445743857
103	0.6855735403	0.7437366824
104	0.6855645494	0.7432095441
105	0.6856334727	0.7424394706
106	0.6859746098	0.7416643066
107	0.686136688	0.7409954536
108	0.6859803876	0.7402360378
109	0.6861257413	0.7396568848
110	0.6860588621	0.7389070168
111	0.6862906006	0.7380575562
112	0.6864446899	0.7373758276
113	0.686418728	0.7367162526
114	0.686821792	0.7359528168
115	0.6871934201	0.7352164968
116	0.6872887473	0.7345170428
117	0.6873284856	0.7339450604
118	0.6873330059	0.7332506167
119	0.6873628395	0.7325291638
120	0.6877066296	0.7316840612
121	0.6881172105	0.7307980053
122	0.6880747892	0.730230283
123	0.6881054482	0.7297883296
124	0.688256973	0.7292442443
125	0.6882866883	0.7286376634
126	0.6886898892	0.7279677835
127	0.6888572247	0.7273013582
128	0.6890642499	0.7266967969
129	0.6892598168	0.7261456
130	0.6893182653	0.7256069002
131	0.689422495	0.7250514586
132	0.6895169967	0.7244837571
133	0.6897394393	0.7240425076
134	0.6898259125	0.7235011324
135	0.6901612321	0.7229224795
136	0.6904286703	0.7223305665
137	0.6904454345	0.7216129313
138	0.6906592397	0.7210832612
139	0.6909704548	0.7205810375
140	0.6909715852	0.720072158
141	0.6912110571	0.7196016536
142	0.6916391393	0.7190633796
143	0.6916920354	0.7185767384
144	0.6919280776	0.7181941497
145	0.6917652624	0.7178511135
146	0.6919002881	0.7171374201
147	0.6920955898	0.7167048225
148	0.6924640932	0.716167459
149	0.6929053817	0.7157905695
150	0.6929979675	0.7151589154
151	0.6929930151	0.7147139443
152	0.6930190753	0.7141806732
153	0.6932523762	0.7136410027
154	0.6934369963	0.7131499599
155	0.6934784739	0.7128918581
156	0.6936666122	0.7124109177
157	0.6938603515	0.7119586123
158	0.6936892426	0.7114576014
159	0.6939666253	0.7109601358
160	0.6941718716	0.710530734
161	0.6942483118	0.7099748161
162	0.6946015647	0.7092948752
163	0.6947154739	0.7087102179
164	0.6950061027	0.7082093588
165	0.6952561281	0.7076274965
166	0.6953081104	0.7071835068
167	0.6955905737	0.7065839426
168	0.6957133952	0.7062111004
169	0.6961438652	0.7056175122
170	0.6963151509	0.7051453502
171	0.6965172723	0.7045863332
172	0.6965024638	0.7042040457
173	0.6966307979	0.7037480273
174	0.6967534427	0.7031232262
175	0.6967129276	0.7027489016
176	0.6969454914	0.7022282479
177	0.6973139064	0.7017824891
178	0.6973147318	0.7011274397
179	0.697630811	0.7006256302
180	0.697903153	0.7000869016
181	0.6983255845	0.6996232547
182	0.6984863168	0.6992439751
183	0.6987601814	0.6987931941
184	0.6990128897	0.6982273763
185	0.6991283711	0.6977251183
186	0.6992195314	0.6970840645
187	0.6994461408	0.6966143468
188	0.6996134763	0.6961763061
189	0.6997328194	0.6956034846
190	0.6998340127	0.695169012
191	0.7001647236	0.6948327013
192	0.7004782382	0.6945333553
193	0.7007108021	0.6941722887
194	0.7007540188	0.6938642724
195	0.7007873307	0.6933115488
196	0.7010788734	0.6928588373
197	0.701420364	0.6923359832
198	0.7015916895	0.691969325
199	0.7018296776	0.6915474442
200	0.7017610593	0.6912315846
201	0.7018852665	0.6907684311
202	0.7020783571	0.6902648888
203	0.7022000483	0.6899260439
204	0.7024434705	0.6892407007
205	0.7026961886	0.6886925305
206	0.7025574381	0.6883655276
207	0.7027612103	0.6879419078
208	0.703043457	0.6874929664
209	0.7032811501	0.6870837814
210	0.7039002788	0.6866469382
211	0.7038231899	0.6863164334
212	0.7039350648	0.6860796921
213	0.7039768374	0.6857195144
214	0.7040398548	0.6853615791
215	0.7042385862	0.685078455
216	0.7046350956	0.6846666251
217	0.7048214948	0.6843035722
218	0.7047194363	0.683972415
219	0.7051413474	0.6836945551
220	0.7052772382	0.6833315544
221	0.7051862546	0.683059639
222	0.7055234901	0.6826201463
223	0.7059417947	0.6821547255
224	0.7062090562	0.6818122175
225	0.7062196493	0.6813654197
226	0.7063355628	0.6810373292
227	0.7069432244	0.680563073
228	0.7071601543	0.6801191527
229	0.7072223463	0.6797399571
230	0.7072488385	0.6794560518
231	0.7073937204	0.6790586663
232	0.7076992461	0.6787521354
233	0.7080296919	0.6784438422
234	0.7081472561	0.6781926581
235	0.7084875679	0.6778442296
236	0.7085802907	0.6775247421
237	0.7088333524	0.6770982909
238	0.7090776	0.6767299803
239	0.7090942361	0.6764935321
240	0.7093203736	0.6762652656
241	0.7094090578	0.6758847113
242	0.7097823279	0.6755885045
243	0.7100195889	0.6751570172
244	0.7102041207	0.6748733206
245	0.7104549228	0.6744566616
246	0.7106802349	0.6741951136
247	0.7108903452	0.6739114988
248	0.7111480156	0.673652624
249	0.7111379827	0.6734263353
250	0.7112928091	0.6730962761
251	0.7113375396	0.6726895789
252	0.7116066286	0.6723417428
253	0.7122217089	0.6719458287
254	0.712329417	0.6715922492
255	0.7125248955	0.6713388112
256	0.7126649133	0.6710699304
257	0.7127350156	0.6707596788
258	0.71283164	0.6705173024
259	0.7131055046	0.6700650176
260	0.7132299769	0.6697175609
261	0.7134955876	0.6694221866
262	0.7133691694	0.6690509832
263	0.7133476295	0.6687215743
264	0.7135506647	0.66833461
265	0.7136540691	0.6680490003
266	0.7138568392	0.6677192177
267	0.7141042999	0.6673617903
268	0.7143485475	0.66715569
269	0.7143819478	0.6667922843
270	0.7148386935	0.6664226994
271	0.7149644631	0.6661211062
272	0.7150805533	0.6658885798
273	0.7151468722	0.665491437
274	0.7154382381	0.6652452715
275	0.7156095238	0.6650092405
276	0.715573087	0.6647339259
277	0.7157649104	0.6644024823
278	0.7160581038	0.6641427842
279	0.7161980333	0.6639368554
280	0.7163182903	0.6637297678
281	0.7163813076	0.6633811565
282	0.7162918864	0.6631737131
283	0.7165244503	0.662884922
284	0.7168368842	0.6626031545
285	0.7167574959	0.6624392864
286	0.7167434244	0.6621356308
287	0.7168579522	0.6619020607
288	0.7171149156	0.6616105809
289	0.7174064582	0.6612326053
290	0.7174148404	0.660951382
291	0.7176474042	0.6607672692
292	0.7173854001	0.6605207548
293	0.7179002991	0.6603702562
294	0.7183048955	0.6600310669
295	0.7186594457	0.6597499482
296	0.7188300827	0.6594027888
297	0.7187170388	0.6591553727
298	0.719070852	0.6587741953
299	0.7192871333	0.6584260453
300	0.7195726816	0.6581909152
301	0.7197325002	0.6579096189
302	0.7198759478	0.6576538931
303	0.7200364635	0.6573794214
304	0.7201325763	0.6570785498
305	0.7204155601	0.6568415986
306	0.72076952	0.6564824616
307	0.7208291474	0.6562027603
308	0.7208384433	0.6559379688
309	0.7209137532	0.6555859803
310	0.7212432951	0.6552824784
311	0.7215031766	0.6550267237
312	0.7214916696	0.6547661188
313	0.7217685805	0.6544856742
314	0.7219911999	0.6541689612
315	0.7221145816	0.6538928697
316	0.7225378484	0.6536606329
317	0.7225734598	0.6533014582
318	0.7229849544	0.6529686614
319	0.7231439078	0.6527071154
320	0.7232530015	0.6523664431
321	0.7232662476	0.6521906959
322	0.7234240221	0.6519177401
323	0.7235117041	0.6517205005
324	0.7237326727	0.6514837678
325	0.7236449906	0.6512751102
326	0.7237311102	0.6510915004
327	0.7237302848	0.6509327855
328	0.7240563085	0.6505984056
329	0.7241573251	0.6503256098
330	0.7242948181	0.6500727162
331	0.7243478026	0.6499398808
332	0.724377508	0.6497381253
333	0.7244199391	0.6494752615
334	0.7243445894	0.6491490546
335	0.7245748538	0.6488304795
336	0.7246859033	0.6485232992
337	0.7249542553	0.6482319603
338	0.7252826668	0.6480554785
339	0.7253067712	0.6477674909
340	0.7256023525	0.6475299567
341	0.7256330114	0.6472692186
342	0.7259172227	0.64703565
343	0.7259753761	0.6467760735
344	0.7263227629	0.6464535228
345	0.7265960275	0.6461803674
346	0.7266863624	0.6458608097
347	0.7267436904	0.6456464658
348	0.7269762543	0.6453445088
349	0.7270632877	0.6451946423
350	0.7272064304	0.6449363362
351	0.7276561894	0.6446980557
352	0.7276057695	0.6445707162
353	0.7276024679	0.6443836119
354	0.7276928029	0.6441913518
355	0.7278542722	0.6439168347
356	0.7279460812	0.643746995
357	0.7281272231	0.64356255
358	0.7284495617	0.6432965412
359	0.7287269532	0.6430023889
360	0.7289099226	0.6427693102
361	0.7292336469	0.6425442653
362	0.7292204008	0.6423217708
363	0.7290595413	0.6420553707
364	0.7291107866	0.6418322308
365	0.7292465007	0.6415709275
366	0.7292755575	0.6413623157
367	0.7294293817	0.6411174843
368	0.7294178748	0.6409527657
369	0.7291729884	0.64072656
370	0.7295057434	0.6404976794
371	0.7296656503	0.6401820827
372	0.7297923337	0.6399151818
373	0.7299107233	0.6397267591
374	0.7303660249	0.6394293065
375	0.7304634349	0.6392954042
376	0.7302979854	0.6390161716
377	0.7304031289	0.6388401521
378	0.7305794068	0.6386693208
379	0.7308474838	0.6384509044
380	0.7309562338	0.6382114017
381	0.7310131783	0.6379445248
382	0.7312532989	0.6376935007
383	0.7312475697	0.6374500382
384	0.7313725139	0.6373521275
385	0.731510144	0.6370342449
386	0.7316880726	0.6368260399
387	0.7320249546	0.6366617183
388	0.7318628366	0.6364163714
389	0.7319571218	0.6362800972
390	0.7322196961	0.635962155
391	0.732349681	0.6357895042
392	0.7323397365	0.6356269004
393	0.7327455418	0.6353094981
394	0.73277056	0.6351346509
395	0.7328566796	0.6349455543
396	0.7329345939	0.6346762093
397	0.7330561967	0.6344850441
398	0.7332453372	0.634307623
399	0.7334871086	0.6340523584
400	0.7339125864	0.6338176674
401	0.7338067058	0.6335627779
402	0.7338531755	0.6333093882
403	0.7339912376	0.6330982335
404	0.7340641995	0.6328919321
405	0.7341652161	0.6327325809
406	0.734323344	0.6325127612
407	0.7345724556	0.6323101645
408	0.7346659154	0.632165938
409	0.7348795438	0.6319939161
410	0.7351883711	0.6317815433
411	0.7355202124	0.6315603889
412	0.7355740222	0.6313261209
413	0.7356254443	0.6311091612
414	0.7358182698	0.6308731309
415	0.7357560778	0.6306269482
416	0.7358397213	0.6303679833
417	0.7359984979	0.6301749186
418	0.7362122146	0.6299993273
419	0.7363587871	0.6298236957
420	0.7363894063	0.6296245229
421	0.7364335765	0.6295078808
422	0.7364451718	0.6293775235
423	0.736604902	0.6291926183
424	0.7366554986	0.6289696602
425	0.7368633095	0.6288405127
426	0.7369800483	0.6286853386
427	0.7373274051	0.6284508877
428	0.7374631192	0.6281951966
429	0.7376211588	0.6279859551
430	0.7378092087	0.6277562158
431	0.7379093999	0.6274942783
432	0.7381683676	0.6273044965
433	0.7382977039	0.6271181499
434	0.7382689123	0.6269269956
435	0.7383293651	0.6268109607
436	0.7383044352	0.6265292209
437	0.7384260778	0.6262511667
438	0.7385247066	0.6259084071
439	0.7388177718	0.6256731991
440	0.7389725982	0.6254684194
441	0.7392076383	0.6251966919
442	0.7392946717	0.624987979
443	0.7394353382	0.6247954456
444	0.7395745306	0.6246929538
445	0.7395680159	0.6244700114
446	0.7398088735	0.6242772014
447	0.7396841944	0.6240439149
448	0.7399193229	0.6239328538
449	0.7402054315	0.6238286082
450	0.7402714853	0.6236918006
451	0.7404528039	0.623506288
452	0.7405205968	0.6233418712
453	0.7407961122	0.6231284073
454	0.7407597639	0.6229261543
455	0.7409011674	0.6227577362
456	0.7409856362	0.6225282464
457	0.7409693537	0.6223641221
458	0.7411739513	0.6221327066
459	0.7414680983	0.6219276762
460	0.741547575	0.6216412584
461	0.741657799	0.6214176486
462	0.7417560344	0.6212143491
463	0.7417769257	0.6210334962
464	0.7419713136	0.6208475848
465	0.7420566962	0.6206972065
466	0.7420427131	0.6205335018
467	0.7423200959	0.620311338
468	0.7424624131	0.6200945259
469	0.7424716206	0.6199860479
470	0.7425867087	0.6198431061
471	0.7427431859	0.6197165337
472	0.7429586418	0.6195437286
473	0.7429561656	0.6193111182
474	0.743178785	0.6191915009
475	0.7432425393	0.6189888823
476	0.7433336113	0.6188352452
477	0.7435255231	0.618540666
478	0.743476754	0.6183553922
479	0.7437614769	0.6181452933
480	0.7440197076	0.6178892314
481	0.7442251307	0.6176666707
482	0.7443122525	0.6174597573
483	0.7445143739	0.6172687259
484	0.744652741	0.6169840229
485	0.7448486913	0.6167721221
486	0.7450167638	0.6165517291
487	0.7452196223	0.6163769005
488	0.7453166002	0.6161207651
489	0.7452752995	0.6159594699
490	0.7453273303	0.6157920602
491	0.7454348616	0.6156691232
492	0.7455980701	0.6154952706
493	0.7457752618	0.6153198167
494	0.7456819787	0.6151737037
495	0.745698438	0.6150490595
496	0.745884709	0.614769145
497	0.7459459872	0.6145663886
498	0.746137162	0.6142921698
499	0.7462398293	0.6141998098
