iter	Passed	Remaining
0	182	54528
1	195	29140
2	208	20597
3	221	16377
4	233	13798
5	246	12073
6	259	10841
7	271	9917
8	284	9204
9	296	8609
10	309	8130
11	321	7719
12	333	7369
13	346	7086
14	360	6852
15	373	6636
16	388	6459
17	401	6295
18	415	6142
19	429	6014
20	443	5889
21	456	5772
22	469	5660
23	483	5559
24	496	5463
25	510	5376
26	522	5284
27	535	5203
28	548	5126
29	561	5056
30	574	4988
31	588	4926
32	602	4871
33	614	4807
34	627	4748
35	640	4694
36	652	4637
37	665	4590
38	678	4540
39	691	4492
40	703	4447
41	716	4403
42	729	4361
43	741	4315
44	753	4271
45	765	4229
46	778	4192
47	791	4153
48	803	4116
49	816	4080
50	828	4043
51	840	4008
52	853	3975
53	865	3941
54	877	3908
55	890	3878
56	901	3845
57	914	3814
58	926	3783
59	938	3755
60	950	3724
61	962	3695
62	974	3665
63	986	3636
64	998	3610
65	1010	3584
66	1023	3559
67	1035	3533
68	1048	3510
69	1061	3486
70	1073	3463
71	1087	3443
72	1099	3420
73	1112	3398
74	1124	3374
75	1137	3352
76	1149	3328
77	1161	3305
78	1173	3284
79	1186	3263
80	1199	3243
81	1211	3221
82	1223	3199
83	1236	3178
84	1248	3158
85	1261	3138
86	1273	3117
87	1285	3096
88	1298	3077
89	1309	3056
90	1322	3038
91	1335	3019
92	1347	2999
93	1360	2981
94	1372	2960
95	1384	2941
96	1396	2923
97	1409	2904
98	1421	2886
99	1434	2868
100	1447	2851
101	1459	2832
102	1472	2815
103	1485	2799
104	1498	2783
105	1512	2767
106	1524	2749
107	1536	2731
108	1548	2713
109	1561	2696
110	1573	2678
111	1585	2661
112	1598	2645
113	1611	2629
114	1624	2612
115	1636	2595
116	1649	2580
117	1662	2563
118	1674	2546
119	1687	2530
120	1700	2515
121	1712	2499
122	1724	2482
123	1736	2465
124	1748	2448
125	1761	2432
126	1773	2416
127	1785	2399
128	1798	2383
129	1810	2367
130	1822	2351
131	1834	2335
132	1847	2319
133	1860	2304
134	1872	2288
135	1884	2272
136	1897	2257
137	1910	2242
138	1922	2226
139	1934	2210
140	1946	2194
141	1958	2179
142	1970	2163
143	1982	2147
144	1995	2132
145	2008	2118
146	2021	2103
147	2033	2088
148	2045	2073
149	2057	2057
150	2069	2042
151	2082	2027
152	2095	2013
153	2107	1998
154	2120	1983
155	2131	1967
156	2144	1952
157	2156	1937
158	2168	1923
159	2180	1907
160	2192	1892
161	2205	1878
162	2217	1864
163	2229	1848
164	2241	1834
165	2254	1820
166	2267	1805
167	2279	1790
168	2290	1775
169	2302	1760
170	2315	1746
171	2327	1731
172	2339	1717
173	2352	1703
174	2364	1688
175	2376	1674
176	2389	1660
177	2402	1646
178	2415	1632
179	2427	1618
180	2439	1604
181	2451	1589
182	2464	1575
183	2476	1561
184	2488	1546
185	2501	1533
186	2513	1518
187	2525	1504
188	2538	1490
189	2551	1477
190	2564	1463
191	2576	1449
192	2590	1436
193	2603	1422
194	2615	1408
195	2627	1394
196	2640	1380
197	2653	1367
198	2667	1353
199	2679	1339
200	2692	1326
201	2706	1313
202	2718	1299
203	2732	1285
204	2745	1272
205	2758	1258
206	2771	1245
207	2785	1231
208	2797	1218
209	2811	1204
210	2823	1191
211	2837	1177
212	2851	1164
213	2864	1151
214	2878	1137
215	2891	1124
216	2904	1111
217	2917	1097
218	2929	1083
219	2941	1069
220	2954	1055
221	2966	1042
222	2977	1028
223	2989	1014
224	3002	1000
225	3014	987
226	3026	973
227	3038	959
228	3051	946
229	3064	932
230	3076	918
231	3088	905
232	3100	891
233	3112	878
234	3125	864
235	3138	851
236	3150	837
237	3162	823
238	3175	810
239	3188	797
240	3200	783
241	3213	770
242	3225	756
243	3237	743
244	3250	729
245	3262	716
246	3275	702
247	3287	689
248	3299	675
249	3312	662
250	3324	648
251	3336	635
252	3348	622
253	3360	608
254	3373	595
255	3386	582
256	3398	568
257	3411	555
258	3423	542
259	3435	528
260	3448	515
261	3460	501
262	3472	488
263	3485	475
264	3498	462
265	3511	448
266	3523	435
267	3535	422
268	3548	408
269	3560	395
270	3572	382
271	3584	369
272	3597	355
273	3610	342
274	3623	329
275	3636	316
276	3648	302
277	3661	289
278	3673	276
279	3686	263
280	3699	250
281	3711	236
282	3723	223
283	3735	210
284	3747	197
285	3760	184
286	3772	170
287	3785	157
288	3797	144
289	3810	131
290	3822	118
291	3834	105
292	3846	91
293	3859	78
294	3871	65
295	3883	52
296	3896	39
297	3908	26
298	3920	13
299	3933	0
