iter	MultiClass
0	1.079316899
1	1.061606323
2	1.044859288
3	1.029555716
4	1.015589363
5	1.002631014
6	0.9901015871
7	0.9786916165
8	0.9681320009
9	0.9583863602
10	0.9490732361
11	0.9404318993
12	0.9323129105
13	0.924786131
14	0.9175755658
15	0.910940784
16	0.9048291062
17	0.8988940427
18	0.8934781295
19	0.8880038575
20	0.8833093894
21	0.8788355469
22	0.8746224513
23	0.8706371613
24	0.866975966
25	0.8634799608
26	0.8602685144
27	0.8574258444
28	0.8546652948
29	0.8519260078
30	0.849406559
31	0.8470577863
32	0.8446101263
33	0.8426201165
34	0.8405780763
35	0.8386024227
36	0.8366140585
37	0.8350266298
38	0.8335367188
39	0.8320431238
40	0.8306610207
41	0.8292967007
42	0.8279016161
43	0.8267722105
44	0.8256255218
45	0.8244942187
46	0.8235001457
47	0.8225801856
48	0.8217836965
49	0.8209938672
50	0.8199820747
51	0.8191069866
52	0.8182630187
53	0.8176134363
54	0.8170104331
55	0.8164634311
56	0.8158451125
57	0.815336802
58	0.8145650443
59	0.8141415033
60	0.8137069652
61	0.813275326
62	0.8128491209
63	0.8123290867
64	0.811974483
65	0.8115133992
66	0.8108909394
67	0.8103965259
68	0.8100266811
69	0.8095536492
70	0.8092484994
71	0.808687501
72	0.8083756874
73	0.8080791614
74	0.8078028246
75	0.8074249353
76	0.807122269
77	0.8067134834
78	0.8064588636
79	0.8062000785
80	0.8058221477
81	0.8055539786
82	0.8051759025
83	0.8048853496
84	0.8046229403
85	0.8042234193
86	0.8039982561
87	0.8036011692
88	0.8033190235
89	0.8030970557
90	0.8026439537
91	0.8024438961
92	0.8022561182
93	0.8019515216
94	0.8014898804
95	0.8012924395
96	0.8010916848
97	0.8008821882
98	0.8006347023
99	0.8002866595
100	0.8000450126
101	0.799919375
102	0.799751002
103	0.7995726138
104	0.799408278
105	0.7990650259
106	0.7989326857
107	0.7986759937
108	0.7985055363
109	0.798358625
110	0.7980070007
111	0.7978155786
112	0.7975914378
113	0.7973447205
114	0.7971493956
115	0.7969904026
116	0.7967729741
117	0.7963702022
118	0.7961772668
119	0.7960799119
120	0.7958252035
121	0.795640299
122	0.7953472347
123	0.7951623982
124	0.7949199914
125	0.7947099701
