iter	Passed	Remaining
0	142	99483
1	156	54526
2	170	39658
3	184	32072
4	197	27416
5	210	24368
6	224	22233
7	238	20599
8	251	19280
9	265	18293
10	277	17393
11	291	16694
12	304	16111
13	316	15530
14	330	15089
15	344	14720
16	358	14385
17	370	14035
18	383	13762
19	396	13489
20	409	13232
21	422	13007
22	435	12812
23	449	12654
24	462	12487
25	476	12348
26	488	12185
27	502	12065
28	515	11924
29	528	11807
30	541	11690
31	555	11588
32	567	11480
33	581	11388
34	594	11294
35	607	11208
36	620	11113
37	633	11037
38	647	10966
39	660	10905
40	673	10831
41	687	10775
42	700	10710
43	713	10633
44	726	10575
45	739	10516
46	752	10455
47	766	10407
48	779	10360
49	794	10322
50	807	10281
51	822	10244
52	835	10204
53	849	10158
54	863	10121
55	875	10067
56	888	10027
57	901	9978
58	914	9937
59	927	9898
60	941	9858
61	953	9816
62	966	9775
63	980	9741
64	994	9714
65	1008	9684
66	1020	9643
67	1034	9613
68	1048	9584
69	1061	9552
70	1075	9523
71	1087	9486
72	1101	9456
73	1114	9427
74	1127	9399
75	1140	9363
76	1153	9334
77	1166	9301
78	1179	9275
79	1192	9240
80	1205	9211
81	1218	9183
82	1231	9152
83	1245	9130
84	1258	9104
85	1271	9076
86	1283	9043
87	1295	9013
88	1311	9000
89	1322	8965
90	1335	8940
91	1348	8913
92	1362	8889
93	1375	8867
94	1388	8844
95	1401	8820
96	1414	8794
97	1427	8770
98	1441	8748
99	1453	8723
100	1467	8701
101	1480	8678
102	1493	8658
103	1508	8647
104	1521	8621
105	1534	8600
106	1547	8577
107	1560	8554
108	1573	8529
109	1586	8507
110	1599	8489
111	1612	8466
112	1625	8442
113	1639	8425
114	1653	8412
115	1667	8395
116	1682	8381
117	1696	8366
118	1709	8348
119	1722	8326
120	1737	8313
121	1751	8300
122	1765	8284
123	1779	8264
124	1793	8248
125	1806	8231
126	1821	8219
127	1837	8209
128	1850	8192
129	1865	8177
130	1879	8161
131	1892	8143
132	1906	8128
133	1921	8114
134	1934	8095
135	1947	8078
136	1960	8057
137	1973	8037
138	1987	8019
139	2001	8004
140	2014	7985
141	2026	7963
142	2040	7948
143	2053	7930
144	2067	7914
145	2081	7898
146	2094	7878
147	2108	7862
148	2121	7846
149	2135	7829
150	2148	7810
151	2161	7792
152	2174	7774
153	2188	7760
154	2202	7743
155	2215	7727
156	2229	7711
157	2244	7698
158	2256	7679
159	2270	7661
160	2283	7644
161	2296	7627
162	2310	7613
163	2324	7595
164	2338	7581
165	2352	7568
166	2366	7552
167	2379	7535
168	2393	7519
169	2405	7500
170	2419	7484
171	2432	7468
172	2446	7452
173	2460	7437
174	2473	7419
175	2486	7404
176	2502	7393
177	2517	7381
178	2530	7365
179	2544	7350
180	2557	7333
181	2571	7317
182	2584	7302
183	2598	7286
184	2612	7273
185	2626	7258
186	2640	7244
187	2653	7227
188	2667	7211
189	2680	7194
190	2694	7181
191	2708	7166
192	2723	7154
193	2737	7139
194	2750	7123
195	2764	7108
196	2778	7094
197	2792	7080
198	2806	7066
199	2819	7049
200	2833	7033
201	2847	7019
202	2860	7004
203	2876	6992
204	2889	6977
205	2905	6966
206	2918	6951
207	2933	6938
208	2946	6921
209	2959	6905
210	2973	6891
211	2987	6877
212	3001	6863
213	3015	6849
214	3029	6834
215	3043	6819
216	3056	6803
217	3071	6790
218	3084	6773
219	3097	6758
220	3111	6744
221	3124	6728
222	3140	6716
223	3154	6702
224	3168	6689
225	3181	6673
226	3194	6656
227	3208	6641
228	3221	6626
229	3236	6613
230	3250	6598
231	3264	6586
232	3278	6571
233	3292	6557
234	3306	6542
235	3320	6528
236	3334	6514
237	3348	6499
238	3362	6486
239	3376	6471
240	3389	6455
241	3402	6439
242	3415	6422
243	3427	6406
244	3440	6389
245	3452	6371
246	3465	6355
247	3478	6338
248	3491	6323
249	3503	6306
250	3516	6290
251	3529	6275
252	3542	6259
253	3555	6243
254	3568	6226
255	3581	6211
256	3594	6196
257	3608	6181
258	3621	6165
259	3633	6149
260	3647	6134
261	3660	6119
262	3674	6106
263	3687	6090
264	3700	6074
265	3714	6060
266	3729	6047
267	3742	6033
268	3756	6018
269	3769	6002
270	3782	5987
271	3795	5972
272	3807	5955
273	3821	5941
274	3834	5925
275	3848	5911
276	3861	5896
277	3874	5880
278	3887	5865
279	3899	5848
280	3911	5832
281	3925	5818
282	3938	5803
283	3952	5790
284	3966	5775
285	3979	5760
286	3993	5747
287	4008	5734
288	4020	5718
289	4033	5702
290	4046	5687
291	4059	5671
292	4072	5657
293	4085	5642
294	4098	5627
295	4111	5611
296	4123	5595
297	4137	5581
298	4150	5566
299	4165	5553
300	4178	5538
301	4190	5522
302	4203	5507
303	4217	5493
304	4230	5478
305	4243	5463
306	4256	5448
307	4270	5435
308	4283	5420
309	4298	5407
310	4310	5391
311	4323	5377
312	4337	5362
313	4349	5347
314	4362	5332
315	4376	5318
316	4391	5305
317	4405	5291
318	4418	5277
319	4432	5263
320	4445	5249
321	4459	5235
322	4473	5221
323	4486	5206
324	4501	5193
325	4514	5179
326	4528	5165
327	4542	5151
328	4556	5138
329	4570	5124
330	4583	5110
331	4598	5096
332	4611	5081
333	4624	5067
334	4636	5052
335	4650	5037
336	4662	5022
337	4675	5007
338	4688	4993
339	4702	4978
340	4715	4964
341	4728	4950
342	4742	4936
343	4756	4921
344	4769	4908
345	4782	4893
346	4795	4878
347	4809	4864
348	4822	4850
349	4836	4836
350	4850	4822
351	4863	4808
352	4877	4794
353	4889	4778
354	4902	4764
355	4916	4750
356	4929	4736
357	4943	4722
358	4957	4708
359	4971	4695
360	4985	4681
361	4999	4668
362	5014	4655
363	5026	4639
364	5039	4625
365	5053	4611
366	5067	4597
367	5080	4583
368	5092	4568
369	5106	4554
370	5119	4540
371	5133	4526
372	5147	4512
373	5160	4497
374	5173	4483
375	5186	4468
376	5198	4454
377	5212	4440
378	5225	4426
379	5238	4411
380	5251	4397
381	5265	4382
382	5277	4368
383	5290	4353
384	5304	4339
385	5317	4325
386	5330	4311
387	5343	4296
388	5356	4282
389	5369	4268
390	5383	4254
391	5396	4239
392	5409	4225
393	5422	4211
394	5435	4197
395	5448	4182
396	5461	4168
397	5474	4153
398	5488	4140
399	5501	4126
400	5514	4111
401	5527	4097
402	5541	4083
403	5554	4069
404	5568	4055
405	5581	4041
406	5594	4027
407	5608	4013
408	5621	3999
409	5634	3985
410	5646	3970
411	5659	3955
412	5672	3941
413	5686	3928
414	5700	3914
415	5714	3900
416	5727	3887
417	5741	3873
418	5754	3859
419	5767	3844
420	5780	3830
421	5793	3816
422	5806	3802
423	5819	3788
424	5832	3774
425	5846	3760
426	5859	3746
427	5872	3732
428	5885	3718
429	5899	3704
430	5912	3690
431	5925	3676
432	5938	3661
433	5952	3648
434	5965	3634
435	5978	3620
436	5991	3606
437	6005	3592
438	6019	3578
439	6033	3565
440	6046	3551
441	6059	3537
442	6073	3523
443	6086	3509
444	6099	3495
445	6112	3481
446	6126	3467
